side,source,dimension,category,phrase
strength,espn_derived,context,transition,"get back on makes and misses alike, no leaking out"
strength,espn_derived,context,second_chance,"box out on the catch, don't release early"
strength,espn_derived,context,halfcourt,"make them play against a set defense, no early clean looks"
strength,espn_derived,shot_zone,at_rim,"wall up early, contest straight up without fouling"
strength,espn_derived,shot_zone,paint,"build the wall on the drive, force the ball back out"
strength,espn_derived,shot_zone,mid_range,run them off the arc and live with the contested two
strength,espn_derived,shot_zone,corner_3,"sprint to fill the corners, never help off the corner"
strength,espn_derived,shot_zone,above_break_3,"close out short with high hands, run them off the line"
strength,espn_derived,creation,assisted,"deny the extra pass, take away the swing out of the drive"
strength,espn_derived,creation,unassisted,"keep the ball in front, no one-on-one breakdowns"
attack,espn_derived,context,transition,"push it off makes and misses, get the ball ahead early"
attack,espn_derived,context,second_chance,"crash from the weak side, hunt the second shot"
attack,espn_derived,context,halfcourt,"get into the offense early, play to a second and third side"
attack,espn_derived,shot_zone,at_rim,"attack the rim off the catch, play through contact"
attack,espn_derived,shot_zone,paint,"drive the gaps, don't settle behind the arc"
attack,espn_derived,shot_zone,mid_range,"take the open pull-up, don't pass up a rhythm two"
attack,espn_derived,shot_zone,corner_3,space the corners and swing it weak side for the catch-and-shoot
attack,espn_derived,shot_zone,above_break_3,"move it to the second side, shoot it in rhythm off the swing"
attack,espn_derived,creation,assisted,"make the extra pass over the first good look, move it on the drive"
attack,espn_derived,creation,unassisted,"hunt the matchup one-on-one, take what's there off the bounce"
strength,espn_derived,ball_security,live_ball_to,"pressure will not rattle them, so pick your spots and don't gamble out of position"
strength,espn_derived,ball_security,dead_ball_to,"they do not beat themselves, so make them earn every possession in the halfcourt"
strength,espn_derived,ball_security,no_turnover,"they rarely give it away, so win the possession on the glass instead"
strength,synergy,synergy_play_type,transition,"get back on makes and misses alike, no leaking out"
strength,synergy,synergy_play_type,spot_up,"close out hard, don't help off shooters"
strength,synergy,synergy_play_type,pnr_ball_handler,"force the ball out of the ballhandler's hands early, dictate direction"
strength,synergy,synergy_play_type,pnr_roll_man,"tag the roll, don't let the screener catch clean"
strength,synergy,synergy_play_type,post_up,"front or dig early, make them catch it deep"
strength,synergy,synergy_play_type,isolation,"stay in front, no help until fully beat"
strength,synergy,synergy_play_type,hand_off,"top-lock or switch clean, don't get hung up on the screen"
strength,synergy,synergy_play_type,off_screen,"chase over the top, don't lose contact on the curl"
strength,synergy,synergy_play_type,cut,"keep an eye on the cutter, don't ball-watch"
strength,synergy,synergy_play_type,offensive_rebounds,"box out on the catch, don't release early"
strength,synergy,synergy_play_type,miscellaneous,"scattered production, no clear pattern to exploit"
weakness,espn_derived,context,transition,"crash the glass, they will not punish you in transition"
weakness,espn_derived,context,second_chance,"box out and go, they do not convert second chances"
weakness,espn_derived,context,halfcourt,"keep it in the halfcourt, make them execute against a set defense"
weakness,espn_derived,shot_zone,at_rim,"stay down and make them finish, they do not convert at the rim"
weakness,espn_derived,shot_zone,paint,"funnel them to the paint, they do not finish there"
weakness,espn_derived,shot_zone,mid_range,funnel them to the elbows and live with that shot
weakness,espn_derived,shot_zone,corner_3,"help off the corner, they cannot punish it"
weakness,espn_derived,shot_zone,above_break_3,"run them off the arc, make them put it on the floor"
weakness,espn_derived,ball_security,live_ball_to,pressure the ball and get out in transition off the steal
weakness,espn_derived,ball_security,dead_ball_to,"trap the catch, they lose it under pressure"
weakness,espn_derived,ball_security,no_turnover,"they give it away, so set the press and speed them up"
weakness,espn_derived,creation,assisted,"deny the first pass, they cannot create off the dribble"
weakness,espn_derived,creation,unassisted,"load to the ball, they have no one who beats you alone"
